"Nobel Literature Ages","","","",""
"Name","Gender","Year of Award","Birth Year","Age at Time of Award"
"Sully Prudhomme","Male","1901","1839","62"
"Theodor Mommsen","Male","1902","1817","85"
"Bjørnstjerne Bjørnson","Male","1903","1832","71"
"Frédéric Mistral","Male","1904","1830","74"
"José Echegaray","Male","1904","1832","72"
"Henryk Sienkiewicz","Male","1905","1846","59"
"Giosuè Carducci","Male","1906","1835","71"
"Rudyard Kipling","Male","1907","1865","42"
"Rudolf Christoph Eucken","Male","1908","1846","62"
"Selma Lagerlöf","Female","1909","1858","51"
"Paul von Heyse","Male","1910","1830","80"
"Maurice Maeterlinck","Male","1911","1862","49"
"Gerhart Hauptmann","Male","1912","1862","50"
"Rabindranath Tagore","Male","1913","1861","52"
"Romain Rolland","Male","1915","1866","49"
"Verner von Heidenstam","Male","1916","1859","57"
"Karl Adolph Gjellerup","Male","1917","1857","60"
"Henrik Pontoppidan","Male","1917","1857","60"
"Carl Spitteler","Male","1919","1845","74"
"Knut Hamsun","Male","1920","1859","61"
"Anatole France","Male","1921","1844","77"
"Jacinto Benavente","Male","1922","1866","56"
"William Butler Yeats","Male","1923","1865","58"
"Wladyslaw Reymont","Male","1924","1867","57"
"George Bernard Shaw","Male","1925","1856","69"
"Grazia Deledda","Female","1926","1871","55"
"Henri Bergson","Male","1927","1859","68"
"Sigrid Undset","Female","1928","1882","46"
"Thomas Mann","Male","1929","1875","54"
"Sinclair Lewis","Male","1930","1885","45"
"Erik Axel Karlfeldt","Male","1931","1864","67"
"John Galsworthy","Male","1932","1867","65"
"Ivan Bunin","Male","1933","1870","63"
"Luigi Pirandello","Male","1934","1867","67"
"Eugene O'Neill","Male","1936","1888","48"
"Roger Martin du Gard","Male","1937","1881","56"
"Pearl S. Buck","Female","1938","1892","46"
"Frans Eemil Sillanpää","Male","1939","1888","51"
"Johannes V. Jensen","Male","1944","1873","71"
"Gabriela Mistral","Female","1945","1889","56"
"Hermann Hesse","Male","1946","1877","69"
"André Gide","Male","1947","1869","78"
"T. S. Eliot","Male","1948","1888","60"
"William Faulkner","Male","1949","1897","52"
"Bertrand Russell","Male","1950","1872","78"
"Pär Lagerkvist","Male","1951","1891","60"
"François Mauriac","Male","1952","1885","67"
"Winston Churchill","Male","1953","1874","79"
"Ernest Hemingway","Male","1954","1899","55"
"Halldór Laxness","Male","1955","1902","53"
"Juan Ramón Jiménez","Male","1956","1881","75"
"Albert Camus","Male","1957","1913","44"
"Boris Pasternak","Male","1958","1890","68"
"Salvatore Quasimodo","Male","1959","1901","58"
"Saint-John Perse","Male","1960","1887","73"
"Ivo Andrić","Male","1961","1892","69"
"John Steinbeck","Male","1962","1902","60"
"Giorgos Seferis","Male","1963","1900","63"
"Jean-Paul Sartre","Male","1964","1905","59"
"Mikhail Sholokhov","Male","1965","1905","60"
"Shmuel Yosef Agnon","Male","1966","1888","78"
"Nelly Sachs","Female","1966","1891","75"
"Miguel Ángel Asturias","Male","1967","1899","68"
"Yasunari Kawabata","Male","1968","1899","69"
"Samuel Beckett","Male","1969","1906","63"
"Aleksandr Solzhenitsyn","Male","1970","1918","52"
"Pablo Neruda","Male","1971","1904","67"
"Heinrich Böll","Male","1972","1917","55"
"Patrick White","Male","1973","1912","61"
"Eyvind Johnson","Male","1974","1900","74"
"Harry Martinson","Male","1974","1904","70"
"Eugenio Montale","Male","1975","1896","79"
"Saul Bellow","Male","1976","1915","61"
"Vicente Aleixandre","Male","1977","1898","79"
"Isaac Bashevis Singer","Male","1978","1902","76"
"Odysseas Elytis","Male","1979","1911","68"
"Czesław Miłosz","Male","1980","1911","69"
"Elias Canetti","Male","1981","1905","76"
"Gabriel García Márquez","Male","1982","1927","55"
"William Golding","Male","1983","1911","72"
"Jaroslav Seifert","Male","1984","1901","83"
"Claude Simon","Male","1985","1913","72"
"Wole Soyinka","Male","1986","1934","52"
"Joseph Brodsky","Male","1987","1940","47"
"Naguib Mahfouz","Male","1988","1911","77"
"Camilo José Cela","Male","1989","1916","73"
"Octavio Paz","Male","1990","1914","76"
"Nadine Gordimer","Female","1991","1923","68"
"Derek Walcott","Male","1992","1930","62"
"Toni Morrison","Female","1993","1931","62"
"Kenzaburō Ōe","Male","1994","1935","59"
"Seamus Heaney","Male","1995","1939","56"
"Wisława Szymborska","Female","1996","1923","73"
"Dario Fo","Male","1997","1926","71"
"José Saramago","Male","1998","1922","76"
"Günter Grass","Male","1999","1927","72"
"Gao Xingjian","Male","2000","1940","60"
"V. S. Naipaul","Male","2001","1932","69"
"Imre Kertész","Male","2002","1929","73"
"J. M. Coetzee","Male","2003","1940","63"
"Elfriede Jelinek","Female","2004","1946","58"
"Harold Pinter","Male","2005","1930","75"
"Orhan Pamuk","Male","2006","1952","54"
"Doris Lessing","Female","2007","1919","88"
"J. M. G. Le Clézio","Male","2008","1940","68"
"Herta Müller","Female","2009","1953","56"
"Mario Vargas Llosa","Male","2010","1936","74"
"Tomas Tranströmer","Male","2011","1931","80"
"Mo Yan","Male","2012","1955","57"
"Alice Munro","Female","2013","1931","82"
"Patrick Modiano","Male","2014","1945","69"
"Svetlana Alexievich","Female","2015","1948","67"
"Bob Dylan","Male","2016","1941","75"
"Kazuo Ishiguro","Male","2017","1954","63"
"Olga Tokarczuk","Female","2018","1962","56"
"Peter Handke","Male","2019","1942","77"
"Louise Glück","Female","2020","1943","77"
"Abdulrazak Gurnah","Male","2021","1948","73"
"Annie Ernaux","Female","2022","1940","82"
"Jon Fosse","Male","2023","1959","64"
"Han Kang","Female","2024","1970","54"
